Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
2B3,0200,2B3,0000,000,0000,000,0000,0000,004,0100
2B3,0200,2B4,0200,2B3,0200,000,02B3,0000,004,0100
2B4,EE18,2B5,EE18,2CD,0000,000,0018,0000,004,0100,2CD,0000
2B5,AE14,2B6,AE14,2CA,0000,000,0014,0000,004,0100
2B6,0700,2B7,0700,2B6,0700,000,02B6,0001,000,0000
2B7,0C00,2B8,0C00,7FF,0001,7FF,02B7,0001,000,0000,7FF,0001
2B8,D6AD,6AD,D6AD,7FE,02B9,7FE,D6AD,0001,000,0000,7FE,02B9
6AD,AC01,6AE,AC01,7FF,0001,7FE,0001,0001,000,0000
6AE,F309,6B8,F309,6AE,F309,7FE,0009,0001,000,0000
6B8,AE02,6B9,AE02,6BB,F7CE,7FE,0002,F7CE,008,1000
6B9,EC01,6BA,EC01,7FF,F7CE,7FE,0001,F7CE,008,1000,7FF,F7CE
6BA,0A00,2B9,0A00,7FE,02B9,7FF,06BA,F7CE,008,1000
2B9,0800,2BA,0800,7FF,F7CE,000,02B9,F7CE,008,1000
2BA,6E12,2BB,6E12,2CD,0000,000,0012,F7CE,009,1001
2BB,EE11,2BC,EE11,2CD,F7CE,000,0011,F7CE,009,1001,2CD,F7CE
2BC,AE0F,2BD,AE0F,2CC,0000,000,000F,0000,005,0101
2BD,0C00,2BE,0C00,7FF,0000,7FF,02BD,0000,005,0101,7FF,0000
2BE,D6AD,6AD,D6AD,7FE,02BF,7FE,D6AD,0000,005,0101,7FE,02BF
6AD,AC01,6AE,AC01,7FF,0000,7FE,0001,0000,005,0101
6AE,F309,6B8,F309,6AE,F309,7FE,0009,0000,005,0101
6B8,AE02,6B9,AE02,6BB,F7CE,7FE,0002,F7CE,009,1001
6B9,EC01,6BA,EC01,7FF,F7CE,7FE,0001,F7CE,009,1001,7FF,F7CE
6BA,0A00,2BF,0A00,7FE,02BF,7FF,06BA,F7CE,009,1001
2BF,0800,2C0,0800,7FF,F7CE,000,02BF,F7CE,009,1001
2C0,6E0C,2C1,6E0C,2CD,F7CE,000,000C,0000,005,0101
2C1,EE0B,2C2,EE0B,2CD,0000,000,000B,0000,005,0101,2CD,0000
2C2,AE08,2C3,AE08,2CB,0000,000,0008,0000,005,0101
2C3,0C00,2C4,0C00,7FF,0000,7FF,02C3,0000,005,0101,7FF,0000
2C4,D6AD,6AD,D6AD,7FE,02C5,7FE,D6AD,0000,005,0101,7FE,02C5
6AD,AC01,6AE,AC01,7FF,0000,7FE,0001,0000,005,0101
6AE,F309,6B8,F309,6AE,F309,7FE,0009,0000,005,0101
6B8,AE02,6B9,AE02,6BB,F7CE,7FE,0002,F7CE,009,1001
6B9,EC01,6BA,EC01,7FF,F7CE,7FE,0001,F7CE,009,1001,7FF,F7CE
6BA,0A00,2C5,0A00,7FE,02C5,7FF,06BA,F7CE,009,1001
2C5,0800,2C6,0800,7FF,F7CE,000,02C5,F7CE,009,1001
2C6,0700,2C7,0700,2C6,0700,000,02C6,F7CF,008,1000
2C7,4E05,2C8,4E05,2CD,0000,000,0005,F7CF,008,1000
2C8,EE04,2C9,EE04,2CD,F7CF,000,0004,F7CF,008,1000,2CD,F7CF
2C9,0100,2CA,0100,2C9,0100,000,02C9,F7CF,008,1000
